time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:08.655,-0.01,0,0.02,-0.08,-0.02,0.02,0,-0.02
11:35:09.335,-0.01,0,-0.01,-0.02,0,-0.04,-0.07,-0.01
11:35:09.420,0,0,0.03,0.02,0,-0.13,0.01,-0.02
11:35:09.488,-0.01,0.03,0.01,0.06,-0.01,-0.04,0.01,-0.01
11:35:09.553,0,0.01,0,-0.03,0,0.22,0.06,0
11:35:09.658,-0.02,0,0.02,0,0,0.11,0.02,0
11:35:09.674,0,0.01,0.06,0,0,-0.05,-0.13,-0.01
11:35:09.684,0,0.01,0.06,0,0,-0.05,-0.13,-0.01
11:35:09.694,0,0,-0.05,-0.04,-0.01,0,0.09,0.01
11:35:09.706,0,0.01,0.01,0,-0.02,-0.31,0,-0.02
11:35:09.750,0,-0.02,-0.03,-0.06,-0.08,-0.42,0.04,0
11:35:09.762,0,-0.02,0,0.07,0.01,-0.13,-0.03,0
11:35:09.773,0,0.01,0.03,0,0,0.11,-0.02,0
11:35:09.783,-0.01,-0.01,-0.07,-0.08,0,0.08,0,0
11:35:09.793,0,0.04,0.04,0.09,0.04,-0.28,0.05,0
11:35:09.807,0,-0.01,0.01,0.04,0.02,0.24,-0.04,0
11:35:09.818,0,0,0,-0.04,-0.01,0.34,-0.03,-0.01
11:35:09.873,-0.01,-0.03,-0.12,-0.03,0.01,0.22,0.05,0
11:35:09.885,0,0.03,0.05,0,0.01,0.23,0.01,0
11:35:09.895,0,0,0.02,-0.06,-0.01,0,-0.02,0
11:35:09.903,0,0,0.02,-0.06,-0.01,0,-0.02,0
11:35:09.915,-0.01,0,0.05,0.01,0,0.03,0,-0.01
11:35:09.926,-0.02,0,-0.05,0,0,-0.08,-0.02,0
11:35:09.968,0.02,-0.03,0.19,0.02,0.05,0.03,0.05,0.04
11:35:09.977,0.02,-0.03,0.19,0.02,0.05,0.03,0.05,0.04
11:35:09.988,-0.02,-0.03,-0.16,-0.03,-0.03,0.31,-0.11,-0.03
11:35:10.001,0.01,-0.01,0.17,0.01,0,-0.06,0,-0.01
11:35:10.015,0.02,0.02,0.05,0,0.06,0.77,0,-0.02
11:35:10.024,0,0,0.03,0.04,0.02,-0.07,-0.06,-0.02
11:35:10.035,0,0,-0.11,0.01,0,0.05,-0.08,0
11:35:10.082,0.02,0.02,-0.04,0,0,-0.66,-0.14,0
11:35:10.094,0.02,-0.02,-0.04,-0.02,0,0.33,0.14,0
11:35:10.105,0.15,0,-0.09,0.01,0.06,0.29,0.01,0.01
11:35:10.116,-0.07,0,0.01,-0.01,-0.04,-0.09,-0.11,-0.02
11:35:10.126,-0.07,0,0.01,-0.01,-0.04,-0.09,-0.11,-0.02
11:35:10.138,-0.07,-0.01,0.02,0.07,0.04,-0.26,0.07,0
11:35:10.150,0.09,0,0,-0.05,-0.04,-0.34,0.06,0.02
11:35:10.201,0.03,0.04,0.13,0.02,0.04,0.07,0.01,0
11:35:10.216,0.05,0.03,0.03,-0.03,-0.03,-0.09,0,0
11:35:10.227,0.21,-0.02,-0.09,0,0.03,0.27,0.14,0
11:35:10.238,0.21,-0.02,-0.09,0,0.03,0.27,0.14,0
11:35:10.249,-0.07,-0.05,-0.06,-0.06,0.01,0.54,0,0.01
11:35:10.259,0.01,0,0.02,0,0,0,0.12,-0.01
11:35:10.300,-0.02,0,0.06,0,-0.01,-0.08,-0.02,-0.01
11:35:10.313,-0.05,-0.01,0.06,0.01,-0.02,-0.25,-0.05,-0.02
11:35:10.322,-0.05,-0.01,0.06,0.01,-0.02,-0.25,-0.05,-0.02
11:35:10.334,0.25,0.07,-0.05,0,-0.03,-0.19,-0.31,-0.09
11:35:10.343,0.25,0.07,-0.05,0,-0.03,-0.19,-0.31,-0.09
11:35:10.357,-0.06,-0.05,-0.04,0,-0.03,-0.01,0.05,0.03
11:35:10.366,-0.09,0,0,-0.02,-0.04,-0.26,-0.09,-0.01
11:35:10.408,-0.01,-0.01,-0.02,-0.03,0.02,-0.12,0.09,0.02
11:35:10.418,-0.01,-0.01,-0.02,-0.03,0.02,-0.12,0.09,0.02
11:35:10.429,0,-0.01,-0.06,0,0.01,0.52,-0.02,0
11:35:10.441,-0.07,-0.01,0.04,0.03,0.02,0.12,0.08,-0.03
11:35:10.453,-0.01,0.02,0.05,0,-0.04,-0.13,0,0.01
11:35:10.463,-0.01,0.02,0.05,0,-0.04,-0.13,0,0.01
11:35:10.475,-0.19,-0.02,-0.06,-0.04,-0.07,-0.41,-0.06,-0.02
11:35:10.518,0.06,0.01,0,0.03,0.01,0.02,0.05,0.02
11:35:10.529,0.01,-0.01,-0.01,0.01,0.02,-0.09,0.01,0.02
11:35:10.540,0.01,-0.01,-0.01,0.01,0.02,-0.09,0.01,0.02
11:35:10.551,0.02,-0.04,-0.08,-0.02,-0.04,-0.03,0,0
11:35:10.563,0.01,0.01,0.09,0,-0.03,-0.11,0.03,0
11:35:10.579,0,-0.05,-0.04,0.02,-0.02,-0.05,-0.05,-0.02
11:35:10.631,0.02,0.03,0.02,0,0.03,0.05,0,0
11:35:10.643,0.02,0.03,0.02,0,0.03,0.05,0,0
11:35:10.654,0.01,0,-0.02,0,-0.01,-0.13,-0.02,0.01
11:35:10.665,0.01,0,-0.02,0,-0.01,-0.13,-0.02,0.01
11:35:10.676,0,0,-0.03,0.01,-0.03,-0.34,-0.01,0
11:35:10.687,0,0,0.01,-0.02,-0.02,-0.11,-0.15,0
11:35:10.697,0,0.02,0.05,0.05,0,0.15,0.04,0
11:35:10.745,-0.01,0,-0.04,0,0.06,0.45,0.01,-0.01
11:35:10.758,-0.02,-0.01,-0.03,-0.06,-0.03,-0.03,0.01,-0.03
11:35:10.767,0.01,-0.01,-0.02,0.01,0.03,0.11,0,0
11:35:10.780,0.01,-0.01,-0.02,0.01,0.03,0.11,0,0
11:35:10.789,0.01,0.01,0,0.03,0.02,0.04,-0.02,-0.01
11:35:10.801,0,0.01,0.12,-0.03,-0.01,0,0.02,0
11:35:10.845,0,0,-0.06,-0.01,0.01,0.02,0.04,0.02
11:35:10.856,-0.02,0,0.04,0.01,-0.01,-0.13,0,0
11:35:10.866,0,0.01,0,-0.03,-0.06,-0.45,0,0
11:35:10.878,0,0,0,-0.05,-0.02,-0.1,-0.03,-0.02
11:35:10.890,-0.01,-0.04,-0.07,-0.06,-0.05,0.04,-0.01,-0.02
11:35:10.901,-0.01,-0.04,-0.07,-0.06,-0.05,0.04,-0.01,-0.02
11:35:10.913,0,0.01,0.07,0.01,0,0.03,-0.03,0.01
11:35:10.971,0.01,0,0.01,0.03,0.01,-0.05,-0.01,0
11:35:10.985,0.01,0,0.01,0.03,0.01,-0.05,-0.01,0
11:35:10.995,0,0,-0.05,0.02,0.01,0.03,-0.04,0
11:35:11.005,0,0,-0.05,0.02,0.01,0.03,-0.04,0
11:35:11.017,-0.03,-0.03,-0.11,-0.03,0.01,0.29,0.04,0
11:35:11.061,-0.01,-0.05,-0.1,0,-0.06,-0.57,-0.05,-0.01
11:35:11.074,-0.01,0.02,0.02,-0.04,-0.02,0.04,0.02,0
11:35:11.086,-0.01,0.02,0.02,-0.04,-0.02,0.04,0.02,0
11:35:11.097,0,0,0.09,-0.03,0,0.25,-0.04,0
11:35:11.107,0,0,0.09,-0.03,0,0.25,-0.04,0
11:35:11.119,-0.01,-0.01,0,0,0,-0.44,0.05,0
11:35:11.131,0,-0.04,-0.09,0.01,0.02,0.28,0.01,0
11:35:11.173,0.01,0,0,0.01,0,0.05,0.04,0.02
11:35:11.185,-0.01,-0.01,-0.05,-0.02,0.01,0.13,-0.01,-0.01
11:35:11.195,0,0,0,-0.04,-0.06,0.12,-0.1,-0.01
11:35:11.206,0,0,0,-0.04,-0.06,0.12,-0.1,-0.01
11:35:11.217,0,-0.04,-0.09,0.02,0.02,0.38,0.07,0
11:35:11.229,0,-0.04,-0.09,0.02,0.02,0.38,0.07,0
11:35:11.240,-0.01,0.02,0.04,-0.02,0.01,-0.02,0.03,-0.04
11:35:11.284,0.01,0.06,0.19,0,0,0.01,-0.18,-0.01
11:35:11.297,-0.01,-0.01,0.07,-0.02,-0.01,0.1,0.01,0
11:35:11.312,0.05,0,-0.04,0.06,0.04,-0.02,0.12,0.03
11:35:11.330,-0.05,-0.09,-0.08,-0.05,-0.04,-0.02,-0.22,0.01
11:35:11.341,-0.05,-0.09,-0.08,-0.05,-0.04,-0.02,-0.22,0.01
11:35:11.387,-0.01,0,-0.02,0.07,0.03,0.02,-0.07,-0.04
11:35:11.398,0,0,0.01,0,0.02,0.17,0.02,-0.02
11:35:11.410,0,0,0.01,0,0.02,0.17,0.02,-0.02
11:35:11.424,-0.01,0,0,0,-0.01,-0.18,-0.07,-0.02
11:35:11.435,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03
11:35:11.447,0.02,0.02,0.02,-0.02,-0.09,-0.2,-0.03,-0.03
11:35:11.459,-0.01,-0.01,-0.03,-0.02,-0.02,-0.04,0.21,0.01
11:35:11.506,0,0,-0.05,-0.03,-0.01,-0.13,0.08,0.03
11:35:11.518,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01
11:35:11.528,0,0.01,0.1,-0.01,-0.01,-0.08,-0.04,0.01
11:35:11.539,0,0,0.01,0,0.02,0.2,0.02,0.03
11:35:11.551,0.01,-0.04,-0.04,0,0.04,0.37,-0.1,0
11:35:11.562,-0.01,-0.03,-0.04,0,0.04,0.14,-0.2,-0.06
11:35:11.605,0,0.01,0.02,0,0.04,0.22,0.02,0.03
11:35:11.615,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02
11:35:11.626,0,-0.03,-0.07,-0.01,-0.01,0.09,0.01,-0.02
11:35:11.644,0.01,0,-0.03,-0.02,0.01,-0.09,0,0.04
11:35:11.657,0,0.02,0,0.01,0,-0.03,-0.01,0
11:35:11.673,0,0.01,0.02,0.04,0.04,0.09,0.13,0
11:35:11.713,-0.01,-0.03,-0.11,-0.02,-0.03,0.3,0,-0.01
11:35:11.725,0,-0.01,-0.03,0.02,0.01,-0.23,-0.25,0
11:35:11.738,0,-0.01,-0.05,-0.02,-0.01,0.02,-0.11,-0.05
11:35:11.751,-0.01,-0.04,0.01,0,0,-0.07,0.15,0
11:35:11.765,-0.01,-0.04,0.01,0,0,-0.07,0.15,0
11:35:11.775,0,0.01,0.11,0,-0.03,-0.07,-0.06,-0.01
11:35:11.787,0,-0.01,-0.01,0,0,-0.21,0.01,0.01
