time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
12:25:17.533,0,0,0.01,0,0,0,0.01,0
12:25:17.942,-0.01,0,-0.01,0,0,-0.02,0,-0.01
12:25:17.958,0,0,0,-0.01,0,0.01,0,0
12:25:17.976,0,-0.01,-0.01,0,0,0,-0.01,0
12:25:17.987,0,-0.01,-0.01,0,0,0,-0.01,0
12:25:17.999,0,0,0,0,-0.01,0,0,0
12:25:18.047,0,0,0.02,-0.02,0,0.01,0,0
12:25:18.060,0,0,-0.03,0,0,-0.01,0,0
12:25:18.072,0,0,-0.03,0,0,-0.01,0,0
12:25:18.085,0,0.01,0,0,-0.01,0,-0.01,0
12:25:18.096,0,0,0,0,0.02,0,0,-0.01
12:25:18.108,0.01,0,0.01,0.01,0,0,0,0.01
12:25:18.156,0,0,-0.01,0,0,0,0,0.01
12:25:18.169,0,0,-0.01,0,0,0,0,0.01
12:25:18.181,-0.01,-0.01,-0.01,0,0,0.01,-0.01,0
12:25:18.191,-0.01,-0.01,-0.01,0,0,0.01,-0.01,0
12:25:18.202,0,-0.01,-0.01,0,-0.03,-0.01,0,0
12:25:18.213,0,0,0,-0.01,0,-0.01,0.01,0
12:25:18.260,-0.02,0,0,0,0,0,0,0
12:25:18.271,-0.02,0,0,0,0,0,0,0
12:25:18.281,0,0,0,0,0,0,0,0
12:25:18.293,0,0,0,0,0,0,0,0
12:25:18.305,-0.02,-0.01,0,0,0,-0.01,-0.01,-0.01
12:25:18.319,-0.01,0,-0.02,-0.01,0,0,0,0
12:25:18.330,-0.02,0,0,0,0,-0.01,0,-0.01
12:25:18.380,0,0,-0.03,0,-0.01,0,-0.02,-0.02
12:25:18.393,0,0,0,0,0,-0.02,-0.01,0
12:25:18.408,-0.01,-0.01,0.01,-0.01,0,0,0,0.01
12:25:18.418,0,-0.01,0.01,-0.01,0,0,0.01,0.01
12:25:18.428,0,-0.01,0.01,-0.01,0,0,0.01,0.01
12:25:18.486,0.01,0,0,-0.01,-0.01,0,-0.01,0
12:25:18.500,-0.01,0,0,0,-0.01,0,0,-0.01
12:25:18.515,0.01,0,0,0,0,-0.01,-0.01,0
12:25:18.528,0.01,0,0,0,0,-0.01,-0.01,0
12:25:18.538,0,0,0,0,0,0,0,-0.01
12:25:18.587,0,0,0,0,0,-0.01,0,-0.01
12:25:18.603,0,0,-0.02,-0.02,-0.01,0,0.01,0
12:25:18.618,-0.01,-0.02,0,0,-0.03,0,0,0
12:25:18.629,0,-0.01,-0.01,-0.01,0,0,0.01,0.01
12:25:18.681,0,0,0,-0.01,0,0,0,0
12:25:18.698,0,0,-0.01,0,0.01,-0.01,0,-0.01
12:25:18.711,0,0,0,-0.01,0,-0.01,0,-0.01
12:25:18.725,0,0,0,-0.01,0,-0.01,0,-0.01
12:25:18.738,0,0,-0.02,0,0,0.01,0.01,0
12:25:18.751,-0.01,0,-0.02,0,0,0,-0.02,-0.01
12:25:18.815,0,0,-0.03,0,-0.01,-0.01,0,0
12:25:18.830,0,0,0,0.01,0,0,-0.01,0
12:25:18.855,0,0,-0.01,0,0,0,0,0
12:25:18.930,0,0,-0.01,-0.02,-0.02,-0.01,0,-0.01
12:25:18.946,0,-0.01,0,0,0,0,-0.01,0
12:25:18.965,0,-0.01,0.01,0,0.01,-0.01,-0.01,0
12:25:19.014,0.01,0,0,0,0,0,-0.01,0
12:25:19.031,0,0,0,0,0,0,0,0
12:25:19.048,0,-0.01,0,0,0,0,0,0
12:25:19.064,0,0,-0.01,0.01,-0.01,0,0,0
12:25:19.077,0,0,0,-0.01,0,-0.02,-0.01,0
12:25:19.128,0,0,0,0,-0.01,0,0,0
12:25:19.139,-0.01,-0.02,0.01,0,0,0,-0.01,0
12:25:19.151,-0.01,0.01,-0.01,-0.02,0,-0.02,-0.01,0
12:25:19.164,-0.01,0,-0.01,0,-0.02,0.01,0,0
12:25:19.175,-0.01,0,-0.01,0,-0.02,0.01,0,0
12:25:19.225,-0.01,0,0,0,0,-0.01,0,0
12:25:19.239,-0.01,0,0,0,0.01,-0.01,0,-0.01
12:25:19.254,-0.01,0,0,-0.01,0.01,0,-0.01,0
12:25:19.273,0,0,0,0,0,0,0,-0.02
12:25:19.334,0,-0.02,0,-0.01,0,0,0,0
12:25:19.355,0,-0.02,0,-0.01,0,0,0,0
12:25:19.372,0,0,0,0,0,0,0,0.01
12:25:19.450,0,-0.01,-0.01,0,0,-0.01,0,0
12:25:19.468,-0.01,-0.01,0,0,-0.01,0,0.01,0
12:25:19.517,0,0,-0.01,0,0,0,-0.01,-0.01
12:25:19.531,-0.01,0,0,0,0,-0.01,0,0
12:25:19.543,0,0,-0.02,0,-0.01,0.01,0,-0.01
12:25:19.553,0,0,0.01,0,-0.01,0,0,0
12:25:19.563,0,0,0,0,0,-0.01,0,0
12:25:19.573,0,0,0,0,0,-0.01,0,0
12:25:19.581,0,-0.02,-0.01,0,0,0,0,0
12:25:19.591,0,0,0,0,-0.01,0,0,0
12:25:19.639,0,0,-0.01,0,0,0,0,0.01
12:25:19.651,0,0,-0.01,0,0,0,0,0.01
12:25:19.663,-0.01,0,-0.02,0,0,0,0,-0.01
12:25:19.674,-0.01,0,-0.02,0,0,0,0,-0.01
12:25:19.685,0,0,0,0,0,0,0,0
12:25:19.696,0,0,0,0,-0.02,-0.02,0,0
12:25:19.705,0,0,0,0,-0.02,-0.02,0,0
12:25:19.747,0,-0.02,-0.01,-0.01,-0.01,0,0,-0.01
12:25:19.772,-0.01,0,0,0,-0.01,-0.02,-0.01,-0.01
12:25:19.786,0,0,0,0,0,0,-0.01,0
12:25:19.800,0,0,-0.01,0,0,0,0,0
12:25:19.811,0,-0.02,0,0,0,0,0,0
12:25:19.863,0,0,0,-0.01,0,0,0,0
12:25:19.875,0,0.01,-0.01,0,-0.02,0,0,0
12:25:19.889,-0.01,0.01,-0.01,0,-0.02,0,0,0
12:25:19.901,-0.01,0.01,-0.01,0,-0.02,0,0,0
12:25:19.914,0,0,0,0,0,0,-0.01,0
12:25:19.925,0,0,0,0,0,-0.01,0,0
12:25:19.976,0,0,0,0,0,-0.01,0,0
12:25:19.989,0,0,-0.01,-0.02,-0.02,0,0,-0.01
12:25:20.002,0,0,0,0,0,-0.01,-0.01,0
12:25:20.014,0,0,0,0,0,-0.01,-0.01,0
12:25:20.024,0,-0.02,0,0,-0.01,0,-0.01,0
12:25:20.100,-0.01,0,-0.01,0,0,0,-0.01,0
12:25:20.113,0,0,0.01,0,0,-0.02,0,0
12:25:20.123,0,0,-0.02,0,0,0,0,0.01
12:25:20.135,0,-0.01,0,-0.02,0,-0.01,0,-0.01
12:25:20.183,-0.01,0,0,0,-0.02,0,0,0
12:25:20.193,-0.01,0,0,0,-0.02,0,0,0
12:25:20.207,0,0,-0.01,0,0,0,0,0
12:25:20.221,0.01,0,0,0,0,0,-0.01,-0.01
12:25:20.234,-0.01,0,0,0,-0.01,0,-0.01,-0.01
12:25:20.246,-0.01,0,0,0.01,0,-0.01,-0.01,0
12:25:20.294,0,0.01,0.01,0,0,-0.01,0,0
12:25:20.310,0,0,0,0,-0.01,0,0,-0.01
12:25:20.325,-0.01,0,0,0,0,0,-0.01,0
12:25:20.341,0.01,0,0,-0.02,0,0,0,0
