New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index,middle,ring,little
35:08.655,-0.01,0,0.02,-0.08,-0.02,0.02,0,-0.02,134.268767875781,137.634934274045,141.90529183398,148.493657641173,171.686881451301
35:09.335,-0.01,0,-0.01,-0.02,0,-0.04,-0.07,-0.01,133.823309514078,139.50625641687,143.894545244592,149.263753124284,174.213562293034
35:09.420,0,0,0.03,0.02,0,-0.13,0.01,-0.02,129.254502098163,139.054914970125,142.642826957395,148.079718145803,172.263080784306
35:09.488,-0.01,0.03,0.01,0.06,-0.01,-0.04,0.01,-0.01,129.170274411668,139.266429394983,143.918090133483,149.654115908058,173.139831751006
35:09.553,0,0.01,0,-0.03,0,0.22,0.06,0,130.05055103935,138.744770745846,144.110927181139,149.495839507525,173.362128546479
35:09.658,-0.02,0,0.02,0,0,0.11,0.02,0,131.313730433045,139.050133242788,144.484760878331,149.747456516887,149.747456516887
35:09.674,0,0.01,0.06,0,0,-0.05,-0.13,-0.01,132.576909826719,139.355495739735,144.858594575526,149.999073526247,149.999073526247
35:09.684,0,0.01,0.06,0,0,-0.05,-0.13,-0.01,133.840089220408,139.660858236683,145.232428272713,150.250690535613,150.250690535613
35:09.694,0,0,-0.05,-0.04,-0.01,0,0.09,0.01,133.777084173719,140.273818541384,145.394866145987,150.275115904236,150.275115904236
35:09.706,0,0.01,0.01,0,-0.02,-0.31,0,-0.02,133.71407912703,140.886778846078,145.557304019258,150.299541272859,150.299541272859
35:09.750,0,-0.02,-0.03,-0.06,-0.08,-0.42,0.04,0,133.491270331873,140.826156458214,145.478565604702,150.567318034522,150.567318034522
35:09.762,0,-0.02,0,0.07,0.01,-0.13,-0.03,0,133.268461536714,140.76553407035,145.399827190146,150.835094796188,150.835094796188
35:09.773,0,0.01,0.03,0,0,0.11,-0.02,0,133.045652741555,140.704911682486,145.321088775589,151.10287155785,151.10287155785
35:09.783,-0.01,-0.01,-0.07,-0.08,0,0.08,0,0,132.725265282352,141.328634656311,145.806895033027,151.901279560523,151.901279560523
35:09.793,0,0.04,0.04,0.09,0.04,-0.28,0.05,0,132.404877823152,141.952357630144,146.292701290455,152.699687563203,152.699687563203
35:09.807,0,-0.01,0.01,0.04,0.02,0.24,-0.04,0,132.084490363952,142.576080603976,146.77850754789,153.498095565883,153.498095565883
35:09.818,0,0,0,-0.04,-0.01,0.34,-0.03,-0.01,131.764102904745,143.199803577809,147.264313805332,154.296503568563,154.296503568563
35:09.873,-0.01,-0.03,-0.12,-0.03,0.01,0.22,0.05,0,131.44371544554,143.823526551645,147.750120062764,155.094911571241,179.982044606482
35:09.885,0,0.03,0.05,0,0.01,0.23,0.01,0,131.451540310751,143.38599961935,147.280071130976,154.411472656226,154.411472656226
35:09.895,0,0,0.02,-0.06,-0.01,0,-0.02,0,131.459365175962,142.948472687043,146.810022199192,153.728033741208,153.728033741208
35:09.903,0,0,0.02,-0.06,-0.01,0,-0.02,0,131.467190041173,142.510945754751,146.339973267401,153.044594826191,153.044594826191
35:09.915,-0.01,0,0.05,0.01,0,0.03,0,-0.01,131.475014906384,142.073418822452,145.86992433561,152.361155911189,152.361155911189
35:09.926,-0.02,0,-0.05,0,0,-0.08,-0.02,0,131.482839771595,141.635891890161,145.39987540384,151.677716996201,151.677716996201
35:09.968,0.02,-0.03,0.19,0.02,0.05,0.03,0.05,0.04,131.24176739987,141.580080055591,145.476924387848,151.835924431069,151.835924431069
35:09.977,0.02,-0.03,0.19,0.02,0.05,0.03,0.05,0.04,131.000695028144,141.524268221022,145.553973371856,151.994131865935,151.994131865935
35:09.988,-0.02,-0.03,-0.16,-0.03,-0.03,0.31,-0.11,-0.03,131.071572371824,141.866207874562,146.016543194251,152.111623447887,152.111623447887
35:10.001,0.01,-0.01,0.17,0.01,0,-0.06,0,-0.01,131.142449715504,142.208147528108,146.479113016656,152.229115029837,152.229115029837
35:10.015,0.02,0.02,0.05,0,0.06,0.77,0,-0.02,131.213327059182,142.55008718164,146.941682839053,152.346606611789,152.346606611789
35:10.024,0,0,0.03,0.04,0.02,-0.07,-0.06,-0.02,131.284204402862,142.892026835172,147.40425266145,152.464098193741,152.464098193741
35:10.035,0,0,-0.11,0.01,0,0.05,-0.08,0,131.355081746541,143.233966488712,147.866822483845,152.581589775694,176.03119039779
35:10.082,0.02,0.02,-0.04,0,0,-0.66,-0.14,0,133.197468332452,143.391417647126,148.172220025364,153.183442465233,153.183442465233
35:10.094,0.02,-0.02,-0.04,-0.02,0,0.33,0.14,0,135.039854918432,143.548868805541,148.477617566881,153.785295154754,153.785295154754
35:10.105,0.15,0,-0.09,0.01,0.06,0.29,0.01,0.01,136.882241504412,143.70631996396,148.783015108405,154.387147844303,154.387147844303
35:10.116,-0.07,0,0.01,-0.01,-0.04,-0.09,-0.11,-0.02,138.724628090305,143.863771122375,149.088412649915,154.989000533838,154.989000533838
35:10.126,-0.07,0,0.01,-0.01,-0.04,-0.09,-0.11,-0.02,140.804107589793,143.459447502813,148.410939070578,154.356819156215,154.356819156215
35:10.138,-0.07,-0.01,0.02,0.07,0.04,-0.26,0.07,0,142.883587089309,143.055123883249,147.733465491241,153.724637778578,153.724637778578
35:10.150,0.09,0,0,-0.05,-0.04,-0.34,0.06,0.02,144.963066588796,142.650800263691,147.055991911882,153.092456400947,153.092456400947
35:10.201,0.03,0.04,0.13,0.02,0.04,0.07,0.01,0,145.372624473228,142.556872220476,147.245119213791,154.033416762475,154.033416762475
