New EMG times,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8,thumb,index+middle,ring+little
35:18.685,0.03,0.31,0.01,-0.03,-0.04,0.34,0.04,-0.01,96.7579854931464,148.586985492914,166.247061048089
35:18.695,0,0.03,0.01,0,-0.02,-0.09,0.09,0,96.9118371408877,148.556977750401,166.05277414828
35:18.704,0,0.03,0.01,0,-0.02,-0.09,0.09,0,97.0656887886362,148.526970007887,165.858487248464
35:18.714,0.01,0,0.05,0.02,0.2,0,0.02,0.01,97.4259211214085,148.468542734666,165.836237667392
35:18.724,0.01,0,0.05,0.02,0.2,0,0.02,0.01,97.7861534542026,148.410115461445,165.813988086319
35:18.734,0.15,0.09,-0.01,-0.01,-0.08,-0.27,-0.02,0.03,98.1463857869821,148.351688188224,165.791738505247
35:18.744,0.15,0.09,-0.01,-0.01,-0.08,-0.27,-0.02,0.03,98.5066181197544,148.293260915004,165.769488924175
35:18.754,0.01,-0.26,-0.03,-0.02,-0.12,-0.32,-0.02,-0.01,98.8668504525267,148.234833641784,165.747239343103
35:18.795,-0.06,0.01,0,0,-0.04,-0.22,-0.09,-0.05,98.7145820421756,148.431379207729,166.019400775618
35:18.804,-0.06,0.01,0,0,-0.04,-0.22,-0.09,-0.05,98.5623136318227,148.627924773677,166.291562208142
35:18.815,0,0.06,-0.01,0,-0.17,0.09,-0.2,-0.02,98.5764343234746,148.677170968585,166.384810772834
35:18.830,-0.02,-0.04,-0.02,0.03,0.09,0.21,-0.01,0.02,98.5905550151263,148.726417163494,166.478059337525
35:18.843,-0.02,-0.04,-0.02,0.03,0.09,0.21,-0.01,0.02,98.6046757067779,148.775663358402,166.571307902217
35:18.856,0,0.09,0.02,0.03,0.27,0.09,0,0.01,98.6353959087901,148.928306684765,166.704098513876
35:18.867,0.01,0.11,0,0.05,0.13,-0.08,-0.05,-0.01,98.6661161108027,149.080950011127,166.836889125532
35:18.907,-0.03,-0.19,-0.01,-0.01,-0.05,-0.71,0.02,-0.02,98.6968363128149,149.233593337492,166.969679737191
